participant.id_in_session,treatment,mod,player.SN_car_A,player.EE,player.PNB,player.NE,player.my_trip,player.HH,player.HL,player.LH,player.LL,player.year_born,player.gender,player.education,player.income,player.family,player.children,player.trust_parlament,player.trust_county,player.trust_municipality,player.trust_government,player.trust_politicians,player.trust_parties,player.vote,player.air_pollution,player.road_pricing,player.revenues,player.tax,player.tax_level,player.Madrid_central,player.effect_rp,player.effect_rp_others,player.comments,session.code
ooxl8r2l,Baseline,1,1.0,9.0,2.0,7.0,11.0,1.0,1.0,1.0,1.0,1979.0,1.0,3.0,0.0,3.0,2.0,3.0,1.0,1.0,4.0,5.0,4.0,3.0,7.0,2.0,6.0,7.0,2.0,7.0,3.0,1.0,,uln4i2w2
i6cytpys,Pollution,2,1.0,4.0,4.0,3.0,11.0,1.0,1.0,1.0,1.0,1999.0,0.0,3.0,3.0,3.0,0.0,4.0,5.0,4.0,1.0,1.0,1.0,1.0,4.0,6.0,3.0,4.0,7.0,6.0,2.0,6.0,"Creo que una pregunta interesante podría haber sido: ""en el caso de que tuviera la opción de ir en coche al lugar de destino en mi trayecto diario, eligiría esta opción?"" Ya que, ahora mismo, no me planteo alquilar una plaza de garaje, pero no lo descarto a futuro.",uln4i2w2
js43i4q6,Public Services,3,1.0,8.0,3.0,4.0,10.0,3.0,4.0,3.0,2.0,1999.0,0.0,3.0,2.0,2.0,0.0,5.0,3.0,4.0,2.0,3.0,2.0,1.0,4.0,7.0,3.0,4.0,4.0,7.0,6.0,2.0,,uln4i2w2
wjalnvbm,Road Pricing,4,1.0,3.0,2.0,2.0,9.0,1.0,1.0,1.0,1.0,1999.0,0.0,3.0,0.0,2.0,0.0,9.0,1.0,3.0,1.0,1.0,1.0,13.0,6.0,1.0,1.0,1.0,2.0,4.0,2.0,1.0,,uln4i2w2
bt4ub78z,Social Norm,5,1.0,8.0,9.0,2.0,9.0,8.0,9.0,6.0,2.0,2000.0,0.0,2.0,1.0,2.0,0.0,5.0,6.0,4.0,7.0,4.0,3.0,3.0,2.0,6.0,6.0,5.0,5.0,3.0,1.0,7.0,,uln4i2w2
5thamyfx,Baseline,1,1.0,6.0,5.0,6.0,11.0,2.0,3.0,3.0,3.0,2002.0,0.0,2.0,0.0,4.0,0.0,5.0,1.0,3.0,2.0,3.0,1.0,13.0,9.0,3.0,5.0,4.0,6.0,5.0,1.0,4.0,,uln4i2w2
8xnl007r,Pollution,2,1.0,9.0,9.0,6.0,11.0,9.0,9.0,11.0,11.0,1967.0,1.0,3.0,4.0,2.0,1.0,7.0,7.0,7.0,7.0,5.0,5.0,5.0,9.0,7.0,7.0,5.0,5.0,1.0,2.0,1.0,,uln4i2w2
wa9mirry,Public Services,3,1.0,4.0,5.0,3.0,10.0,9.0,9.0,9.0,9.0,1999.0,0.0,3.0,5.0,3.0,0.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,9.0,2.0,3.0,2.0,6.0,3.0,2.0,4.0,No hay opción de 0 menores de 15 años en la misma vivienda,uln4i2w2
7swa81a6,Road Pricing,4,1.0,3.0,11.0,7.0,8.0,7.0,4.0,3.0,1.0,2001.0,0.0,2.0,0.0,3.0,0.0,3.0,3.0,3.0,3.0,2.0,2.0,1.0,2.0,1.0,4.0,5.0,4.0,2.0,7.0,7.0,,uln4i2w2
8utng60s,Social Norm,5,1.0,5.0,2.0,6.0,11.0,1.0,1.0,1.0,1.0,1995.0,0.0,3.0,0.0,1.0,0.0,3.0,1.0,1.0,4.0,3.0,2.0,3.0,6.0,5.0,7.0,7.0,2.0,7.0,6.0,4.0,"En la pregunta sobre cuántos hijos menores de 15 años residen conmigo, no deja opción a poner 0, he tenido que poner 1 porque era lo más cercano. Tampoco deja saltarse la respuesta sin contestar para dar a entender que no tengo ninguno.",uln4i2w2
iljz4kcr,Baseline,1,1.0,5.0,4.0,3.0,6.0,10.0,4.0,10.0,10.0,2000.0,0.0,3.0,0.0,3.0,0.0,3.0,2.0,3.0,3.0,1.0,1.0,0.0,2.0,5.0,6.0,5.0,5.0,6.0,1.0,1.0,,uln4i2w2
g57v7f6b,Public Services,3,1.0,3.0,3.0,4.0,10.0,2.0,2.0,2.0,2.0,1999.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,5.0,4.0,2.0,3.0,3.0,3.0,6.0,7.0,7.0,9.0,5.0,4.0,4.0,"En la pregunta de menores de 15 años en la vivienda, no había opción de 0.  En las últimas preguntas sobre la tarificacion vial tiene poco sentido responder el cómo afecta si no sabes en qué se va a usar ese dinero recaudado.",uln4i2w2
mjk6292s,Road Pricing,4,1.0,4.0,3.0,3.0,10.0,7.0,9.0,5.0,8.0,2001.0,0.0,2.0,0.0,3.0,0.0,5.0,4.0,4.0,5.0,4.0,4.0,13.0,4.0,7.0,6.0,7.0,2.0,6.0,4.0,5.0,,uln4i2w2
b2zbxt87,Social Norm,5,1.0,6.0,3.0,3.0,11.0,1.0,1.0,1.0,1.0,2001.0,0.0,2.0,0.0,3.0,0.0,1.0,1.0,1.0,3.0,1.0,2.0,0.0,7.0,7.0,4.0,7.0,4.0,7.0,4.0,2.0,,uln4i2w2
f7l8qaxj,Baseline,1,1.0,7.0,3.0,4.0,11.0,11.0,11.0,11.0,11.0,2000.0,1.0,3.0,0.0,4.0,0.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,4.0,2.0,2.0,4.0,4.0,6.0,4.0,2.0,,uln4i2w2
gc2yc6kb,Pollution,2,1.0,4.0,3.0,5.0,8.0,3.0,3.0,3.0,3.0,2000.0,0.0,3.0,5.0,1.0,0.0,2.0,3.0,3.0,2.0,1.0,1.0,13.0,9.0,5.0,5.0,4.0,9.0,6.0,9.0,9.0,,uln4i2w2
lceiue4p,Public Services,3,1.0,5.0,2.0,4.0,11.0,5.0,4.0,4.0,2.0,2001.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,6.0,5.0,2.0,5.0,4.0,4.0,5.0,7.0,"en la pregunta que cuántos menores de tantas años viven conmigo, no hay opción de 0, el mísimo es 1 y por eso lo puse, pero mi respuesta e 0",uln4i2w2
yhtytjg8,Road Pricing,4,1.0,4.0,3.0,3.0,5.0,3.0,3.0,3.0,3.0,1999.0,1.0,3.0,0.0,2.0,0.0,6.0,6.0,6.0,2.0,1.0,2.0,1.0,5.0,3.0,1.0,4.0,6.0,6.0,3.0,3.0,,uln4i2w2
oce85yq5,Social Norm,5,1.0,5.0,3.0,3.0,10.0,11.0,3.0,11.0,11.0,1968.0,1.0,3.0,4.0,1.0,0.0,6.0,4.0,5.0,3.0,2.0,1.0,0.0,4.0,5.0,5.0,3.0,2.0,6.0,4.0,2.0,"En la pregunta de cuántos hijos menores de 15 años viven con usted, no está la opción de ninguno, que es mi caso  La preguntas sobre la tarificación, con todas las opciones parecidas y posibilidades mezcladas, son un poco confusas, aunque supongo que ese es el objetivo.",uln4i2w2
2x8lwzgs,Baseline,1,1.0,4.0,3.0,3.0,8.0,7.0,6.0,9.0,7.0,1999.0,0.0,3.0,5.0,3.0,0.0,2.0,2.0,2.0,2.0,1.0,1.0,5.0,4.0,3.0,7.0,5.0,7.0,7.0,2.0,1.0,,uln4i2w2
s3lur6hw,Pollution,2,1.0,7.0,6.0,4.0,8.0,3.0,7.0,10.0,3.0,2000.0,0.0,3.0,3.0,2.0,0.0,3.0,6.0,5.0,2.0,2.0,2.0,5.0,2.0,2.0,3.0,6.0,6.0,4.0,3.0,2.0,,uln4i2w2
xrbj74l6,Public Services,3,1.0,3.0,3.0,6.0,11.0,3.0,3.0,3.0,3.0,1997.0,0.0,3.0,2.0,2.0,0.0,5.0,5.0,5.0,4.0,1.0,2.0,1.0,3.0,6.0,5.0,2.0,7.0,4.0,5.0,4.0,,uln4i2w2
j632e8gi,Road Pricing,4,1.0,4.0,3.0,5.0,11.0,3.0,3.0,3.0,6.0,2000.0,1.0,3.0,0.0,2.0,0.0,4.0,1.0,2.0,5.0,4.0,1.0,3.0,7.0,9.0,1.0,7.0,1.0,7.0,7.0,5.0,"La pregunta sobre el porcentaje de personas que creen que se usa el coche con las que realmente se usan ha sido un poco confusa, es decir, estaría bien el saber la finalidad concreta de esa pregunta. El resto del experimento ha sido muy cómodo con una interfaz muy fluida",uln4i2w2
vbrs1zxw,Social Norm,5,1.0,9.0,4.0,10.0,11.0,11.0,5.0,1.0,11.0,2002.0,0.0,2.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,7.0,4.0,3.0,3.0,6.0,2.0,"En la pregunta de si vivo en con adolescentes de 15 años, la opción minima es 1, y yo no vivo con ninguno. Estaría mejor yo creo dar la opción de 0. Genial lo demás, gracias!",uln4i2w2
dp91xtaq,Baseline,1,1.0,9.0,4.0,8.0,11.0,11.0,11.0,11.0,11.0,1995.0,0.0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,8.0,1.0,1.0,0.0,6.0,2.0,2.0,6.0,6.0,7.0,3.0,3.0,En la pregunta de cuántos hijos menores de 15 años viven conmigo he puesto 1 por error. No hay ninguno. ,uln4i2w2
3wx4k804,Pollution,2,1.0,7.0,1.0,3.0,10.0,4.0,1.0,4.0,1.0,2000.0,0.0,2.0,1.0,3.0,1.0,7.0,7.0,7.0,7.0,2.0,2.0,13.0,7.0,7.0,7.0,7.0,9.0,9.0,4.0,9.0,"me ha gustado mucho, y me gustaria seguir participando.",uln4i2w2
ku4wa0bo,Public Services,3,1.0,6.0,6.0,6.0,9.0,3.0,3.0,3.0,3.0,1997.0,0.0,3.0,0.0,4.0,0.0,2.0,3.0,2.0,3.0,2.0,2.0,3.0,4.0,2.0,1.0,7.0,4.0,6.0,2.0,1.0,"La pregunta de los hijos no da opción a poner 0. A veces se hace complicado entender bien lo que se pregunta. Creo que sería necesario más preguntas de valor, como el por qué no se quiere implementar esta idea. Y también me parece clave preguntar del 1 al 10 (o al 7) si realmente se cree que los impuestos se vayan a destinar a lo que se debe. Por ejemplo, se comenta que el destinar los impuestos a las obras... nunca sale del todo bien... ",uln4i2w2
xqb85ccf,Road Pricing,4,1.0,8.0,6.0,9.0,9.0,8.0,11.0,8.0,2.0,1999.0,0.0,3.0,3.0,1.0,0.0,4.0,4.0,7.0,2.0,1.0,7.0,2.0,4.0,1.0,7.0,5.0,5.0,4.0,1.0,5.0,Muchas gracias,uln4i2w2
7bbx2y71,Social Norm,5,1.0,7.0,7.0,6.0,11.0,11.0,11.0,11.0,11.0,2000.0,0.0,3.0,0.0,3.0,0.0,2.0,5.0,3.0,1.0,1.0,1.0,13.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,,uln4i2w2
blto2mcw,Baseline,1,1.0,5.0,2.0,1.0,9.0,2.0,6.0,5.0,3.0,1965.0,0.0,3.0,3.0,1.0,2.0,3.0,4.0,5.0,1.0,1.0,4.0,1.0,6.0,6.0,4.0,7.0,7.0,3.0,3.0,4.0,,uln4i2w2
x30bjs8t,Pollution,2,1.0,8.0,6.0,4.0,11.0,10.0,8.0,11.0,11.0,2002.0,0.0,2.0,5.0,4.0,0.0,3.0,4.0,4.0,1.0,1.0,2.0,1.0,6.0,3.0,2.0,6.0,7.0,3.0,1.0,2.0,,uln4i2w2
j1jyvbvz,Public Services,3,0.0,7.0,10.0,9.0,10.0,11.0,10.0,9.0,7.0,2000.0,1.0,3.0,4.0,3.0,0.0,3.0,5.0,5.0,3.0,3.0,2.0,1.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,,uln4i2w2
u64v8el2,Road Pricing,4,0.0,8.0,8.0,6.0,11.0,9.0,9.0,9.0,9.0,2003.0,0.0,2.0,0.0,4.0,1.0,1.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,7.0,1.0,5.0,1.0,,uln4i2w2
04x8stxz,Social Norm,5,0.0,8.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,2002.0,0.0,3.0,0.0,3.0,0.0,3.0,3.0,3.0,4.0,1.0,2.0,0.0,6.0,1.0,3.0,5.0,6.0,4.0,2.0,2.0,,uln4i2w2
i9o0qyx0,Baseline,1,0.0,8.0,10.0,8.0,11.0,10.0,8.0,10.0,9.0,2001.0,0.0,3.0,0.0,4.0,0.0,5.0,2.0,6.0,5.0,4.0,5.0,3.0,6.0,7.0,6.0,7.0,2.0,6.0,4.0,5.0,,uln4i2w2
06u8w2cd,Pollution,2,0.0,9.0,9.0,9.0,3.0,6.0,3.0,9.0,10.0,1999.0,0.0,3.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,6.0,1.0,4.0,7.0,7.0,1.0,1.0,1.0,"Interesante estudio. Sin embargo, considero que ya pagamos suficientes impuestos tanto de vehículos como de otros temas como para seguir pagando dependiendo de dónde se circule. Entiendo el problema de la contaminación pero ya la gasolina está suficientemente cara y eso ya limita.",uln4i2w2
squ1qny3,Public Services,3,0.0,9.0,8.0,8.0,10.0,9.0,9.0,9.0,9.0,1993.0,0.0,3.0,2.0,1.0,0.0,9.0,1.0,5.0,4.0,4.0,4.0,0.0,5.0,2.0,4.0,5.0,3.0,6.0,2.0,1.0,"No hay opcion de ningun hijo (0) en las preguntas demograficas  No informa cual es el tipo A en las preguntas de % con imagen, por lo cual no se entiende bien la pregunta  ",uln4i2w2
1nh05e9w,Road Pricing,4,0.0,9.0,10.0,8.0,10.0,9.0,9.0,9.0,9.0,2000.0,0.0,3.0,5.0,5.0,0.0,9.0,9.0,9.0,6.0,9.0,9.0,0.0,6.0,3.0,6.0,6.0,2.0,9.0,4.0,1.0,No había opcion de ningun menor de 15 años ,uln4i2w2
axzk9gj9,Social Norm,5,0.0,7.0,9.0,10.0,7.0,8.0,8.0,8.0,8.0,2001.0,0.0,2.0,5.0,2.0,0.0,4.0,5.0,5.0,6.0,2.0,1.0,0.0,6.0,5.0,5.0,6.0,6.0,6.0,5.0,4.0,,uln4i2w2
86t6doru,Pollution,2,0.0,4.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0,2000.0,0.0,3.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,1.0,1.0,13.0,4.0,5.0,3.0,6.0,6.0,9.0,1.0,1.0,,uln4i2w2
m58iw3h4,Public Services,3,0.0,8.0,10.0,9.0,10.0,7.0,8.0,8.0,5.0,1995.0,0.0,3.0,2.0,1.0,0.0,9.0,8.0,4.0,8.0,3.0,3.0,13.0,3.0,4.0,4.0,4.0,6.0,6.0,4.0,2.0,,uln4i2w2
uhxmj0wy,Road Pricing,4,0.0,9.0,11.0,10.0,11.0,11.0,11.0,11.0,1.0,1999.0,0.0,3.0,5.0,2.0,0.0,8.0,7.0,7.0,4.0,8.0,5.0,1.0,9.0,6.0,6.0,3.0,6.0,7.0,6.0,2.0,"En el número de hijos podríais poner la opción 0. Además, entendí mal una de las preguntas y puse 0% y mi respuesta era 100%.",uln4i2w2
mljhhksv,Social Norm,5,0.0,8.0,11.0,9.0,9.0,11.0,11.0,11.0,11.0,2000.0,0.0,3.0,0.0,4.0,0.0,6.0,5.0,6.0,5.0,2.0,2.0,0.0,9.0,6.0,7.0,7.0,5.0,7.0,5.0,6.0,,uln4i2w2
mwllqpwo,Baseline,1,0.0,7.0,8.0,9.0,9.0,6.0,6.0,9.0,7.0,1999.0,1.0,3.0,2.0,2.0,0.0,4.0,4.0,6.0,6.0,3.0,2.0,3.0,2.0,4.0,2.0,5.0,5.0,7.0,2.0,1.0,Muy interesante,uln4i2w2
tklufas1,Pollution,2,0.0,7.0,3.0,5.0,10.0,9.0,9.0,10.0,8.0,1995.0,0.0,3.0,1.0,1.0,0.0,5.0,4.0,3.0,5.0,3.0,3.0,0.0,7.0,6.0,7.0,5.0,2.0,5.0,6.0,2.0,,uln4i2w2
n1jz31mj,Public Services,3,0.0,8.0,10.0,9.0,11.0,3.0,11.0,11.0,11.0,2001.0,1.0,2.0,0.0,3.0,0.0,4.0,5.0,4.0,1.0,1.0,1.0,5.0,9.0,1.0,3.0,7.0,7.0,7.0,1.0,1.0,,uln4i2w2
q8qluwoa,Road Pricing,4,0.0,7.0,10.0,8.0,9.0,3.0,2.0,2.0,3.0,2003.0,0.0,2.0,5.0,3.0,0.0,9.0,1.0,4.0,6.0,3.0,3.0,0.0,5.0,5.0,7.0,5.0,2.0,7.0,7.0,3.0,,uln4i2w2
6qhl0fs6,Social Norm,5,0.0,7.0,10.0,8.0,10.0,10.0,10.0,10.0,10.0,1992.0,0.0,3.0,2.0,1.0,0.0,2.0,1.0,1.0,2.0,1.0,1.0,13.0,3.0,2.0,3.0,1.0,6.0,3.0,6.0,9.0,,uln4i2w2
cuye6dd3,Baseline,1,0.0,9.0,11.0,9.0,11.0,3.0,3.0,3.0,3.0,1995.0,0.0,3.0,3.0,0.0,0.0,1.0,1.0,1.0,5.0,2.0,2.0,0.0,7.0,7.0,7.0,7.0,4.0,7.0,3.0,1.0,,uln4i2w2
ubf01yyz,Pollution,2,0.0,8.0,10.0,6.0,9.0,8.0,8.0,9.0,9.0,1996.0,1.0,3.0,2.0,3.0,0.0,5.0,3.0,5.0,5.0,4.0,4.0,3.0,6.0,5.0,9.0,6.0,3.0,7.0,6.0,1.0,En un momento dado se pregunta por el número de hijos menores de 15 años convivientes. El test no permite indicar una cantidad nula.   Gracias!,uln4i2w2
025baf3d,Public Services,3,0.0,4.0,9.0,8.0,11.0,6.0,9.0,9.0,9.0,2001.0,0.0,2.0,0.0,2.0,0.0,5.0,4.0,6.0,4.0,3.0,3.0,3.0,6.0,4.0,3.0,6.0,2.0,3.0,3.0,1.0,Falta de opción de 0 en la pregunta sobre la convivencia con menores de 15 años. ,uln4i2w2
u1sfa65t,Road Pricing,4,0.0,8.0,10.0,8.0,10.0,3.0,10.0,9.0,9.0,1994.0,0.0,3.0,2.0,3.0,0.0,4.0,4.0,3.0,2.0,1.0,1.0,5.0,9.0,4.0,5.0,5.0,7.0,5.0,3.0,1.0,,uln4i2w2
f1gy2a1i,Social Norm,5,0.0,7.0,8.0,9.0,8.0,4.0,6.0,4.0,9.0,2002.0,1.0,2.0,0.0,6.0,3.0,4.0,5.0,6.0,3.0,2.0,2.0,12.0,3.0,1.0,2.0,3.0,6.0,4.0,2.0,3.0,"A la hora de medios de transporte no sé si se está teniendo en cuenta el carsharing, pero es una opción que está bastante en auge",uln4i2w2
00yymq0o,Baseline,1,0.0,8.0,11.0,10.0,11.0,1.0,4.0,1.0,1.0,1996.0,0.0,3.0,0.0,0.0,0.0,6.0,5.0,4.0,5.0,4.0,4.0,0.0,7.0,5.0,5.0,6.0,1.0,4.0,6.0,4.0,,uln4i2w2
sfblbvwk,Pollution,2,0.0,9.0,11.0,10.0,7.0,5.0,10.0,4.0,11.0,1996.0,0.0,3.0,2.0,1.0,0.0,2.0,4.0,4.0,5.0,3.0,2.0,0.0,5.0,7.0,7.0,5.0,6.0,7.0,7.0,4.0,"En la pregunta de ""cuántos personas menores de 15 años viven con usted"" no está la opción de poner 0, y te obliga a poner una cifra obligatoriamente.",uln4i2w2
okgoorqe,Public Services,3,0.0,5.0,11.0,10.0,11.0,9.0,9.0,3.0,3.0,1987.0,1.0,3.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,7.0,5.0,2.0,6.0,9.0,7.0,5.0,2.0,,uln4i2w2
vdaxa6tc,Road Pricing,4,0.0,3.0,6.0,7.0,3.0,7.0,11.0,4.0,10.0,1999.0,0.0,2.0,4.0,2.0,0.0,8.0,8.0,8.0,8.0,8.0,8.0,3.0,7.0,7.0,6.0,4.0,2.0,2.0,4.0,3.0,,uln4i2w2
o4o34ebb,Social Norm,5,0.0,8.0,10.0,5.0,8.0,5.0,5.0,4.0,4.0,1992.0,0.0,3.0,3.0,1.0,0.0,5.0,4.0,5.0,4.0,4.0,4.0,13.0,1.0,5.0,7.0,5.0,5.0,7.0,4.0,2.0,,uln4i2w2
ucm1u4ag,Baseline,1,0.0,8.0,8.0,9.0,10.0,2.0,10.0,8.0,9.0,1999.0,1.0,3.0,0.0,7.0,0.0,3.0,6.0,6.0,3.0,2.0,2.0,2.0,4.0,6.0,7.0,6.0,6.0,5.0,2.0,2.0,,uln4i2w2
0heamljk,Pollution,2,0.0,5.0,8.0,7.0,10.0,10.0,10.0,10.0,8.0,1999.0,0.0,3.0,0.0,3.0,0.0,4.0,2.0,3.0,1.0,1.0,2.0,1.0,3.0,4.0,5.0,3.0,6.0,1.0,2.0,1.0,,uln4i2w2
qo94kr9x,Public Services,3,0.0,7.0,8.0,11.0,11.0,11.0,11.0,11.0,11.0,1999.0,0.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,,uln4i2w2
lqwx8yq8,Road Pricing,4,0.0,6.0,10.0,8.0,9.0,9.0,9.0,9.0,9.0,2002.0,0.0,1.0,0.0,3.0,,9.0,9.0,9.0,9.0,9.0,9.0,5.0,2.0,5.0,4.0,4.0,9.0,7.0,5.0,2.0,,uln4i2w2
m3gt87zy,Social Norm,5,1.0,7.0,6.0,6.0,4.0,9.0,3.0,3.0,3.0,2000.0,0.0,3.0,2.0,1.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,13.0,2.0,4.0,5.0,4.0,4.0,2.0,5.0,2.0,,uln4i2w2
87r3ztc7,Baseline,1,1.0,5.0,4.0,4.0,11.0,11.0,9.0,9.0,3.0,2003.0,0.0,1.0,4.0,4.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,3.0,6.0,2.0,5.0,6.0,2.0,2.0,1.0,,uln4i2w2
bcqkcoin,Pollution,2,1.0,8.0,4.0,6.0,11.0,1.0,4.0,1.0,2.0,1999.0,0.0,3.0,1.0,1.0,0.0,3.0,4.0,6.0,2.0,9.0,9.0,0.0,4.0,9.0,3.0,8.0,7.0,2.0,5.0,6.0,,uln4i2w2
mxwgg2gu,Public Services,3,1.0,7.0,4.0,7.0,6.0,5.0,5.0,7.0,6.0,2000.0,0.0,3.0,5.0,4.0,0.0,5.0,5.0,6.0,9.0,6.0,6.0,13.0,7.0,5.0,4.0,5.0,4.0,4.0,4.0,5.0,,uln4i2w2
knetg7bm,Social Norm,5,1.0,5.0,3.0,5.0,10.0,2.0,1.0,3.0,2.0,2003.0,0.0,2.0,0.0,3.0,0.0,9.0,5.0,5.0,4.0,3.0,2.0,0.0,5.0,6.0,3.0,6.0,9.0,9.0,3.0,1.0,,uln4i2w2
hrd6w0r8,Baseline,1,1.0,8.0,5.0,6.0,9.0,6.0,4.0,6.0,6.0,1997.0,0.0,3.0,2.0,2.0,0.0,3.0,1.0,2.0,1.0,1.0,1.0,0.0,5.0,3.0,7.0,2.0,6.0,5.0,3.0,1.0,,uln4i2w2
kapv8l3b,Pollution,2,1.0,9.0,6.0,3.0,11.0,9.0,3.0,3.0,3.0,1992.0,0.0,3.0,2.0,1.0,0.0,1.0,6.0,2.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,7.0,3.0,1.0,1.0,"Está interesante, aunque hay preguntas un poco liosas como las del tanto por ciento.",uln4i2w2
5rwmd8l6,Public Services,3,1.0,4.0,2.0,5.0,10.0,2.0,2.0,1.0,2.0,1977.0,1.0,2.0,1.0,3.0,0.0,5.0,1.0,2.0,6.0,2.0,1.0,3.0,6.0,2.0,6.0,7.0,2.0,7.0,2.0,1.0,,uln4i2w2
40ibzesx,Road Pricing,4,1.0,6.0,2.0,5.0,8.0,1.0,1.0,1.0,1.0,1995.0,1.0,3.0,2.0,0.0,0.0,4.0,1.0,5.0,5.0,3.0,3.0,13.0,6.0,6.0,6.0,7.0,2.0,4.0,6.0,4.0,En la pregunta ¿Cuántos hijos menores de 15 años viven con usted? no deja la opción de poner 0. He puesto 1 (aunque en realidad es 0).,uln4i2w2
